cycle,time,stage,active_cells,min_w,min_rho,min_alpha,max_alpha,min_metric_eigenvalue,max_frobenius_condition,min_4_alpha2w2,margin_2_alpha,max_abs_pcghi_w,max_abs_pcghi_rho,max_abs_pcghi_a,max_abs_pcghi_c,max_abs_pcghi_b,max_abs_pcghi_d,max_abs_pcghi_e,max_abs_pcghi_betax,max_abs_pcghi_betay,max_abs_pcghi_betaz,max_abs_pcghi_K,max_abs_pcghi_Ahatxx,max_abs_pcghi_Ahatxy,max_abs_pcghi_Ahatxz,max_abs_pcghi_Ahatyy,max_abs_pcghi_Ahatyz,max_abs_pcghi_Zx,max_abs_pcghi_Zy,max_abs_pcghi_Zz,max_abs_pcghi_C,max_abs_pcghi_px,max_abs_pcghi_py,max_abs_pcghi_pz,max_abs_pcghi_lx,max_abs_pcghi_ly,max_abs_pcghi_lz,max_abs_pcghi_Sxa,max_abs_pcghi_Sxc,max_abs_pcghi_Sxb,max_abs_pcghi_Sxd,max_abs_pcghi_Sxe,max_abs_pcghi_Sya,max_abs_pcghi_Syc,max_abs_pcghi_Syb,max_abs_pcghi_Syd,max_abs_pcghi_Sye,max_abs_pcghi_Sza,max_abs_pcghi_Szc,max_abs_pcghi_Szb,max_abs_pcghi_Szd,max_abs_pcghi_Sze,max_abs_pcghi_Bxx,max_abs_pcghi_Bxy,max_abs_pcghi_Bxz,max_abs_pcghi_Byx,max_abs_pcghi_Byy,max_abs_pcghi_Byz,max_abs_pcghi_Bzx,max_abs_pcghi_Bzy,max_abs_pcghi_Bzz
0,0,post-exchange,15360,0.091306394191402046,1,0.091306394191402046,0.92946801444296911,1,2.9999999999999996,3.2536581471417776,1.070531985557031,0.92946801444296911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,diagnostic state,15360,0.091306394191402046,1,0.091306394191402046,0.92946801444296911,1,2.9999999999999996,3.2536581471417776,1.070531985557031,0.92946801444296911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,pre-timestep,15360,0.091306394191402046,1,0.091306394191402046,0.92946801444296911,1,2.9999999999999996,3.2536581471417776,1.070531985557031,0.92946801444296911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,pre-RHS including stencil ghosts,15360,0.091306394191402046,1,0.091306394191402046,0.92946801444296911,1,2.9999999999999996,3.2536581471417776,1.070531985557031,0.92946801444296911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-RHS,15360,0.091306394191402046,1,0.091306394191402046,0.92946801444296911,1,2.9999999999999996,3.2536581471417776,1.070531985557031,0.92946801444296911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0.4901949988322441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,post-RK update,15360,0.091367730261821323,1,0.091367730261821323,0.92947064994020823,1,2.9999999999999996,3.2536496821264,1.0705293500597919,0.92947064994020823,1,0,0,0,0,0,1.7464785094706683e-20,1.7464785094706683e-20,1.7464785094706683e-20,0.00040009490418408138,0.00062482663236141983,0.00053079715345650191,0.00053079715345650191,0.00062482663236141983,0.00053079715345650191,0,0,0,0.0001879784735423662,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0264034520205474e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20
0,0,post-exchange,15360,0.091367730261821323,1,0.091367730261821323,0.92947064994020823,1,2.9999999999999996,3.2536496821264,1.0705293500597919,0.92947064994020823,1,0,0,0,0,0,1.7464785094706683e-20,1.7464785094706683e-20,1.7464785094706683e-20,0.00040009490418408138,0.00062482663236141983,0.00053079715345650191,0.00053079715345650191,0.00062482663236141983,0.00053079715345650191,0,0,0,0.0001879784735423662,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0264034520205474e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20
0,0,diagnostic state,15360,0.091367730261821323,1,0.091367730261821323,0.92947064994020823,1,2.9999999999999996,3.2536496821264,1.0705293500597919,0.92947064994020823,1,0,0,0,0,0,1.7464785094706683e-20,1.7464785094706683e-20,1.7464785094706683e-20,0.00040009490418408138,0.00062482663236141983,0.00053079715345650191,0.00053079715345650191,0.00062482663236141983,0.00053079715345650191,0,0,0,0.0001879784735423662,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0264034520205474e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20
0,0,pre-RHS including stencil ghosts,15360,0.091367730261821323,1,0.091367730261821323,0.92947064994020823,1,2.9999999999999996,3.2536496821264,1.0705293500597919,0.92947064994020823,1,0,0,0,0,0,1.7464785094706683e-20,1.7464785094706683e-20,1.7464785094706683e-20,0.00040009490418408138,0.00062482663236141983,0.00053079715345650191,0.00053079715345650191,0.00062482663236141983,0.00053079715345650191,0,0,0,0.0001879784735423662,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0264034520205474e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20
0,0,post-RHS,15360,0.091367730261821323,1,0.091367730261821323,0.92947064994020823,1,2.9999999999999996,3.2536496821264,1.0705293500597919,0.92947064994020823,1,0,0,0,0,0,1.7464785094706683e-20,1.7464785094706683e-20,1.7464785094706683e-20,0.00040009490418408138,0.00062482663236141983,0.00053079715345650191,0.00053079715345650191,0.00062482663236141983,0.00053079715345650191,0,0,0,0.0001879784735423662,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0.49043919130940133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0264034520205474e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20,9.280406498865519e-21,9.280406498865519e-21,9.280406498865519e-21,2.0264034520205462e-20
