# Athena++ data at time=6.093750e-01  cycle=40 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00155 0005  1.48438e+00  3.13753e-01  1.00555e+00  4.38658e-04  4.38658e-04  9.97237e-01  2.30940e-05  9.97237e-01 -6.09249e-03 -1.64593e-02 -1.29920e-03 -1.29920e-03  8.16050e-03 -6.83900e-05  8.16050e-03  5.69421e-03  2.99752e-04  2.99752e-04  4.06231e-07  5.62421e-01  8.64430e-05  4.55089e-06  4.55089e-06
00155 0006  1.64062e+00  3.45570e-01  1.00475e+00  3.39645e-04  3.39645e-04  9.97633e-01  1.61767e-05  9.97633e-01 -4.99502e-03 -1.34384e-02 -9.59665e-04 -9.59665e-04  6.67096e-03 -4.57033e-05  6.67096e-03  3.88585e-03  1.85072e-04  1.85072e-04  1.69351e-07  5.89818e-01  7.14256e-05  3.40182e-06  3.40182e-06
00155 0007  1.79688e+00  3.74987e-01  1.00406e+00  2.65015e-04  2.65015e-04  9.97976e-01  1.15237e-05  9.97976e-01 -4.11562e-03 -1.10318e-02 -7.19318e-04 -7.19318e-04  5.48208e-03 -3.12767e-05  5.48208e-03  2.67691e-03  1.16414e-04  1.16414e-04  1.49653e-07  6.14050e-01  5.78415e-05  2.51576e-06  2.51576e-06
00155 0008  1.95312e+00  4.02179e-01  1.00347e+00  2.08485e-04  2.08485e-04  9.98268e-01  8.34037e-06  9.98268e-01 -3.41161e-03 -9.11278e-03 -5.46552e-04 -5.46552e-04  4.53253e-03 -2.18651e-05  4.53253e-03  1.86527e-03  7.43772e-05  7.43772e-05  7.58034e-08  6.35625e-01  4.62441e-05  1.84708e-06  1.84708e-06
00155 0009  2.10938e+00  4.27330e-01  1.00298e+00  1.65373e-04  1.65373e-04  9.98515e-01  6.12709e-06  9.98515e-01 -2.84642e-03 -7.57786e-03 -4.20606e-04 -4.20606e-04  3.77193e-03 -1.55851e-05  3.77193e-03  1.30854e-03  4.85422e-05  4.85422e-05  5.47653e-08  6.54953e-01  3.67011e-05  1.35214e-06  1.35214e-06
00155 0010  2.26562e+00  4.50623e-01  1.00256e+00  1.32244e-04  1.32244e-04  9.98723e-01  4.56501e-06  9.98723e-01 -2.38321e-03 -6.33439e-03 -3.27650e-04 -3.27650e-04  3.15500e-03 -1.13035e-05  3.15500e-03  9.20516e-04  3.08421e-05  3.08421e-05  2.62592e-06  6.72361e-01  2.87339e-05  9.94347e-07  9.94347e-07
00155 0011  2.42188e+00  4.72226e-01  1.00220e+00  1.06557e-04  1.06557e-04  9.98899e-01  3.44398e-06  9.98899e-01 -2.01003e-03 -5.33712e-03 -2.58087e-04 -2.58087e-04  2.65970e-03 -8.32131e-06  2.65970e-03  6.54495e-04  1.88597e-05  1.88597e-05 -3.95704e-06  6.88117e-01  2.23762e-05  6.69446e-07  6.69446e-07
00162 0004  2.65625e+00  5.02622e-01  1.00175e+00  1.54910e-04  1.54910e-04  9.99125e-01  9.11888e-06  9.99125e-01 -1.56364e-03 -4.10548e-03 -3.62967e-04 -3.62967e-04  2.04725e-03 -2.13593e-05  2.04725e-03  3.87987e-04  2.21874e-05  2.21874e-05 -2.07606e-06  7.09705e-01  1.48673e-05  8.60783e-07  8.60783e-07
00162 0005  2.96875e+00  5.37305e-01  1.00133e+00  1.05348e-04  1.05348e-04  9.99335e-01  5.54916e-06  9.99335e-01 -1.14780e-03 -3.01682e-03 -2.38503e-04 -2.38503e-04  1.50535e-03 -1.25601e-05  1.50535e-03  1.96997e-04  1.04317e-05  1.04317e-05 -6.37353e-07  7.33579e-01  8.74584e-06  4.63733e-07  4.63733e-07
00162 0006  3.28125e+00  5.67648e-01  1.00103e+00  7.35112e-05  7.35112e-05  9.99487e-01  3.50229e-06  9.99487e-01 -8.60080e-04 -2.26126e-03 -1.61737e-04 -1.61737e-04  1.12887e-03 -7.70498e-06  1.12887e-03  1.01817e-04  4.85352e-06  4.85352e-06  1.17575e-07  7.53863e-01  5.02136e-06  2.39055e-07  2.39055e-07
00162 0007  3.59375e+00  5.94377e-01  1.00080e+00  5.24608e-05  5.24608e-05  9.99599e-01  2.28154e-06  9.99599e-01 -6.56158e-04 -1.72594e-03 -1.12697e-04 -1.12697e-04  8.61922e-04 -4.90087e-06  8.61922e-04  4.94797e-05  2.15864e-06  2.15864e-06 -1.26818e-07  7.71302e-01  2.67750e-06  1.16676e-07  1.16676e-07
00162 0008  3.90625e+00  6.18078e-01  1.00064e+00  3.81943e-05  3.81943e-05  9.99682e-01  1.52794e-06  9.99682e-01 -5.08443e-04 -1.33802e-03 -8.03952e-05 -8.03952e-05  6.68366e-04 -3.21588e-06  6.68366e-04  2.19316e-05  8.72956e-07  8.72956e-07  3.64309e-08  7.86452e-01  1.27031e-06  5.14679e-08  5.14679e-08
00162 0009  4.21875e+00  6.39222e-01  1.00051e+00  2.82957e-05  2.82957e-05  9.99746e-01  1.04856e-06  9.99746e-01 -4.00843e-04 -1.05383e-03 -5.84830e-05 -5.84830e-05  5.26511e-04 -2.16854e-06  5.26511e-04  8.40656e-06  2.03822e-07  2.03822e-07 -4.02671e-07  7.99732e-01  5.19167e-07  1.37099e-08  1.37099e-08
00162 0010  4.53125e+00  6.58190e-01  1.00041e+00  2.12893e-05  2.12893e-05  9.99794e-01  7.36110e-07  9.99794e-01 -3.21730e-04 -8.39750e-04 -4.33711e-05 -4.33711e-05  4.19614e-04 -1.50025e-06  4.19614e-04 -1.64860e-06  1.59012e-07  1.59012e-07  4.06142e-06  8.11467e-01 -4.18842e-08  5.78201e-10  5.78201e-10
00162 0011  4.84375e+00  6.75296e-01  1.00034e+00  1.62517e-05  1.62517e-05  9.99832e-01  5.27456e-07  9.99832e-01 -2.57196e-04 -6.75648e-04 -3.27564e-05 -3.27564e-05  3.37652e-04 -1.05938e-06  3.37652e-04 -5.01087e-06 -1.67466e-07 -1.67466e-07  4.97899e-06  8.21910e-01 -3.39638e-07  1.62332e-08  1.62332e-08
00169 0004  5.31250e+00  6.98626e-01  1.00025e+00  2.20205e-05  2.20205e-05  9.99875e-01  1.29722e-06  9.99875e-01 -1.88497e-04 -4.92095e-04 -4.34718e-05 -4.34718e-05  2.45954e-04 -2.56021e-06  2.45954e-04 -7.71199e-06 -4.69895e-07 -4.69895e-07 -1.69154e-07  8.35947e-01 -5.74295e-07 -3.36576e-08 -3.36576e-08
00169 0005  5.93750e+00  7.24283e-01  1.00018e+00  1.38591e-05  1.38591e-05  9.99912e-01  7.30607e-07  9.99912e-01 -1.29301e-04 -3.39570e-04 -2.68468e-05 -2.68468e-05  1.69740e-04 -1.41497e-06  1.69740e-04 -6.87001e-06 -3.53295e-07 -3.53295e-07 -1.01601e-07  8.51124e-01 -5.45971e-07 -2.81416e-08 -2.81416e-08
00169 0006  6.56250e+00  7.45958e-01  1.00013e+00  9.07520e-06  9.07520e-06  9.99937e-01  4.32504e-07  9.99937e-01 -9.19120e-05 -2.41972e-04 -1.73085e-05 -1.73085e-05  1.20963e-04 -8.24832e-07  1.20963e-04 -5.72724e-06 -2.72380e-07 -2.72380e-07 -8.69375e-08  8.63744e-01 -4.87195e-07 -2.31867e-08 -2.31867e-08
00169 0007  7.18750e+00  7.64502e-01  1.00009e+00  6.13666e-06  6.13666e-06  9.99953e-01  2.66935e-07  9.99953e-01 -6.71168e-05 -1.76935e-04 -1.15551e-05 -1.15551e-05  8.84551e-05 -5.02608e-07  8.84551e-05 -4.63532e-06 -2.01784e-07 -2.01784e-07 -5.46595e-08  8.74399e-01 -4.15320e-07 -1.80218e-08 -1.80218e-08
00169 0008  7.81250e+00  7.80542e-01  1.00007e+00  4.26527e-06  4.26527e-06  9.99964e-01  1.70705e-07  9.99964e-01 -5.02480e-05 -1.32260e-04 -7.94441e-06 -7.94441e-06  6.61228e-05 -3.17985e-07  6.61228e-05 -3.69252e-06 -1.47428e-07 -1.47428e-07  1.95002e-07  8.83514e-01 -3.42777e-07 -1.37483e-08 -1.37483e-08
00169 0009  8.43750e+00  7.94550e-01  1.00005e+00  3.04532e-06  3.04532e-06  9.99973e-01  1.12706e-07  9.99973e-01 -3.73117e-05 -1.00700e-04 -5.62824e-06 -5.62824e-06  5.03460e-05 -2.08035e-07  5.03460e-05 -3.33709e-06 -9.87166e-08 -9.87166e-08 -4.71038e-07  8.91399e-01 -2.98338e-07 -9.79942e-09 -9.79942e-09
00169 0010  9.06250e+00  8.06884e-01  1.00004e+00  2.17289e-06  2.17289e-06  9.99980e-01  7.43529e-08  9.99980e-01 -2.37277e-05 -7.28279e-05 -3.90691e-06 -3.90691e-06  3.64117e-05 -1.33470e-07  3.64117e-05 -4.80689e-06 -7.00929e-08 -7.00929e-08 -6.01873e-06  8.98283e-01 -5.09001e-07 -6.76438e-09 -6.76438e-09
00169 0011  9.68750e+00  8.17831e-01  1.00002e+00  7.71557e-07  7.71557e-07  9.99992e-01  2.51387e-08  9.99992e-01 -1.07939e-05 -3.42613e-05 -1.78444e-06 -1.78444e-06  1.71302e-05 -5.79766e-08  1.71302e-05 -2.79731e-06 -2.27522e-08 -2.27522e-08 -6.33092e-06  9.04346e-01 -2.66036e-07 -1.80630e-09 -1.80630e-09
