# Athena++ data at time=9.906250e+00  cycle=635 
# gid   i       x1v         z4c_chi         z4c_gxx         z4c_gxy         z4c_gxz         z4c_gyy         z4c_gyz         z4c_gzz         z4c_Khat         z4c_Axx         z4c_Axy         z4c_Axz         z4c_Ayy         z4c_Ayz         z4c_Azz         z4c_Gamx         z4c_Gamy         z4c_Gamz         z4c_Theta         z4c_alpha         z4c_betax         z4c_betay         z4c_betaz     
00134 0009 -1.64062e+00  3.71794e-01  3.58465e+00 -1.45656e-01 -1.45656e-01  5.34093e-01  6.93923e-03  5.34093e-01  1.17894e-01 -1.25063e+00  6.38967e-02  6.38967e-02  8.90081e-02 -3.04135e-03  8.90081e-02 -1.60578e+00  7.65503e-02  7.65503e-02 -4.24893e-06  4.12971e-01 -5.45114e-02  2.59862e-03  2.59862e-03
00134 0010 -1.48438e+00  3.33173e-01  4.48314e+00 -2.11067e-01 -2.11067e-01  4.82229e-01  1.11069e-02  4.82229e-01  1.57753e-01 -1.97768e+00  1.09138e-01  1.09138e-01  9.82797e-02 -5.71939e-03  9.82797e-02 -2.19362e+00  1.15120e-01  1.15120e-01 -3.26592e-04  3.35622e-01 -4.74228e-02  2.49389e-03  2.49389e-03
00134 0011 -1.32812e+00  2.89104e-01  5.85281e+00 -3.19776e-01 -3.19776e-01  4.30824e-01  1.87931e-02  4.30824e-01  2.16865e-01 -3.29040e+00  2.00938e-01  2.00938e-01  1.04056e-01 -1.18350e-02  1.04056e-01 -3.06959e+00  1.79502e-01  1.79502e-01 -4.12437e-04  2.47016e-01 -3.53936e-02  2.07332e-03  2.07332e-03
00135 0004 -1.17188e+00  2.42454e-01  7.67299e+00 -4.88662e-01 -4.88662e-01  3.92133e-01  3.26327e-02  3.92133e-01  2.98488e-01 -5.42873e+00  3.74564e-01  3.74564e-01  1.02019e-01 -2.52382e-02  1.02019e-01 -4.28681e+00  2.86154e-01  2.86154e-01  4.48409e-04  1.55169e-01 -2.03694e-02  1.35517e-03  1.35517e-03
00135 0005 -1.01562e+00  1.97907e-01  9.17605e+00 -6.83750e-01 -6.83750e-01  3.81075e-01  5.28200e-02  3.81075e-01  3.90198e-01 -7.76257e+00  6.12374e-01  6.12374e-01  9.14752e-02 -4.75195e-02  9.14752e-02 -5.65289e+00  4.37759e-01  4.37759e-01 -3.76453e-05  7.99520e-02 -8.21136e-03  6.33440e-04  6.33440e-04
00135 0006 -8.59375e-01  1.56443e-01  9.34408e+00 -8.23178e-01 -8.23178e-01  3.99668e-01  7.51251e-02  3.99668e-01  4.66096e-01 -8.73496e+00  8.09168e-01  8.09168e-01  7.81322e-02 -7.37426e-02  7.81322e-02 -6.84874e+00  6.27748e-01  6.27748e-01 -1.29436e-03  3.66230e-02 -2.50035e-03  2.29058e-04  2.29058e-04
00135 0007 -7.03125e-01  1.15693e-01  8.21662e+00 -8.75356e-01 -8.75356e-01  4.42142e-01  9.73317e-02  4.42142e-01  4.96089e-01 -7.83134e+00  8.83406e-01  8.83406e-01  6.69173e-02 -9.75589e-02  6.69173e-02 -7.83901e+00  8.81131e-01  8.81131e-01 -5.24693e-04  1.94705e-02 -7.93866e-04  8.91246e-05  8.91246e-05
00135 0008 -5.46875e-01  7.57315e-02  6.28121e+00 -8.36494e-01 -8.36494e-01  5.10472e-01  1.18735e-01  5.10472e-01  4.46174e-01 -5.58067e+00  8.05480e-01  8.05480e-01  6.17029e-02 -1.13192e-01  6.17029e-02 -8.74523e+00  1.22403e+00  1.22403e+00 -1.96132e-03  1.78922e-02 -4.14272e-04  5.81850e-05  5.81850e-05
00135 0009 -3.90625e-01  4.03989e-02  3.85109e+00 -6.67189e-01 -6.67189e-01  6.25475e-01  1.33435e-01  6.25475e-01  3.47846e-01 -2.68475e+00  5.50176e-01  5.50176e-01  6.75788e-02 -1.06726e-01  6.75788e-02 -9.43913e+00  1.86705e+00  1.86705e+00  2.16080e-02  2.86640e-02 -3.85388e-04  7.72215e-05  7.72215e-05
00135 0010 -2.34375e-01  1.37393e-02  1.80343e+00 -3.68458e-01 -3.68458e-01  8.21765e-01  1.27649e-01  8.21765e-01  2.37781e-01 -6.50004e-01  2.61106e-01  2.61106e-01  5.39263e-02 -8.49451e-02  5.39263e-02 -8.74972e+00  3.20958e+00  3.20958e+00 -8.03641e-03  4.41052e-02 -2.00063e-04  7.41706e-05  7.41706e-05
00135 0011 -7.81250e-02  1.35382e-03  1.00953e+00 -1.01038e-01 -1.01038e-01  1.00953e+00  1.01038e-01  1.00953e+00  6.41705e-02 -2.25465e-02  1.23910e-01  1.23910e-01 -2.25465e-02 -1.23910e-01 -2.25465e-02 -5.13367e+00  5.13367e+00  5.13367e+00 -5.61596e-01  5.18069e-02 -1.13358e-05  1.13358e-05  1.13358e-05
00154 0004  7.81250e-02  1.35382e-03  1.00953e+00  1.01038e-01  1.01038e-01  1.00953e+00  1.01038e-01  1.00953e+00  6.41705e-02 -2.25465e-02 -1.23910e-01 -1.23910e-01 -2.25465e-02 -1.23910e-01 -2.25465e-02  5.13367e+00  5.13367e+00  5.13367e+00 -5.61596e-01  5.18069e-02  1.13358e-05  1.13358e-05  1.13358e-05
00154 0005  2.34375e-01  1.37393e-02  1.80343e+00  3.68458e-01  3.68458e-01  8.21765e-01  1.27649e-01  8.21765e-01  2.37781e-01 -6.50004e-01 -2.61106e-01 -2.61106e-01  5.39263e-02 -8.49451e-02  5.39263e-02  8.74972e+00  3.20958e+00  3.20958e+00 -8.03641e-03  4.41052e-02  2.00063e-04  7.41706e-05  7.41706e-05
00154 0006  3.90625e-01  4.03989e-02  3.85109e+00  6.67189e-01  6.67189e-01  6.25475e-01  1.33435e-01  6.25475e-01  3.47846e-01 -2.68475e+00 -5.50176e-01 -5.50176e-01  6.75788e-02 -1.06726e-01  6.75788e-02  9.43913e+00  1.86705e+00  1.86705e+00  2.16080e-02  2.86640e-02  3.85388e-04  7.72215e-05  7.72215e-05
00154 0007  5.46875e-01  7.57315e-02  6.28121e+00  8.36494e-01  8.36494e-01  5.10472e-01  1.18735e-01  5.10472e-01  4.46174e-01 -5.58067e+00 -8.05480e-01 -8.05480e-01  6.17029e-02 -1.13192e-01  6.17029e-02  8.74523e+00  1.22403e+00  1.22403e+00 -1.96132e-03  1.78922e-02  4.14272e-04  5.81850e-05  5.81850e-05
00154 0008  7.03125e-01  1.15693e-01  8.21662e+00  8.75356e-01  8.75356e-01  4.42142e-01  9.73317e-02  4.42142e-01  4.96089e-01 -7.83134e+00 -8.83406e-01 -8.83406e-01  6.69173e-02 -9.75589e-02  6.69173e-02  7.83901e+00  8.81131e-01  8.81131e-01 -5.24693e-04  1.94705e-02  7.93866e-04  8.91246e-05  8.91246e-05
00154 0009  8.59375e-01  1.56443e-01  9.34408e+00  8.23178e-01  8.23178e-01  3.99668e-01  7.51251e-02  3.99668e-01  4.66096e-01 -8.73496e+00 -8.09168e-01 -8.09168e-01  7.81322e-02 -7.37426e-02  7.81322e-02  6.84874e+00  6.27748e-01  6.27748e-01 -1.29436e-03  3.66230e-02  2.50035e-03  2.29058e-04  2.29058e-04
00154 0010  1.01562e+00  1.97907e-01  9.17605e+00  6.83750e-01  6.83750e-01  3.81075e-01  5.28200e-02  3.81075e-01  3.90198e-01 -7.76257e+00 -6.12374e-01 -6.12374e-01  9.14752e-02 -4.75195e-02  9.14752e-02  5.65289e+00  4.37759e-01  4.37759e-01 -3.76453e-05  7.99520e-02  8.21136e-03  6.33440e-04  6.33440e-04
00154 0011  1.17188e+00  2.42454e-01  7.67299e+00  4.88662e-01  4.88662e-01  3.92133e-01  3.26327e-02  3.92133e-01  2.98488e-01 -5.42873e+00 -3.74564e-01 -3.74564e-01  1.02019e-01 -2.52382e-02  1.02019e-01  4.28681e+00  2.86154e-01  2.86154e-01  4.48409e-04  1.55169e-01  2.03694e-02  1.35517e-03  1.35517e-03
00155 0004  1.32812e+00  2.89104e-01  5.85281e+00  3.19776e-01  3.19776e-01  4.30824e-01  1.87931e-02  4.30824e-01  2.16865e-01 -3.29040e+00 -2.00938e-01 -2.00938e-01  1.04056e-01 -1.18350e-02  1.04056e-01  3.06959e+00  1.79502e-01  1.79502e-01 -4.12437e-04  2.47016e-01  3.53936e-02  2.07332e-03  2.07332e-03
00155 0005  1.48438e+00  3.33173e-01  4.48314e+00  2.11067e-01  2.11067e-01  4.82229e-01  1.11069e-02  4.82229e-01  1.57753e-01 -1.97768e+00 -1.09138e-01 -1.09138e-01  9.82797e-02 -5.71939e-03  9.82797e-02  2.19362e+00  1.15120e-01  1.15120e-01 -3.26592e-04  3.35622e-01  4.74228e-02  2.49389e-03  2.49389e-03
00155 0006  1.64062e+00  3.71794e-01  3.58465e+00  1.45656e-01  1.45656e-01  5.34093e-01  6.93923e-03  5.34093e-01  1.17894e-01 -1.25063e+00 -6.38967e-02 -6.38967e-02  8.90081e-02 -3.04135e-03  8.90081e-02  1.60578e+00  7.65503e-02  7.65503e-02 -4.24893e-06  4.12971e-01  5.45114e-02  2.59862e-03  2.59862e-03
00155 0007  1.79688e+00  4.04934e-01  2.99443e+00  1.05138e-01  1.05138e-01  5.81579e-01  4.57268e-03  5.81579e-01  9.07572e-02 -8.37227e-01 -3.99641e-02 -3.99641e-02  7.90128e-02 -1.73973e-03  7.90128e-02  1.20899e+00  5.26204e-02  5.26204e-02  4.49189e-05  4.78390e-01  5.73895e-02  2.49699e-03  2.49699e-03
00155 0008  1.95312e+00  4.33468e-01  2.59272e+00  7.89047e-02  7.89047e-02  6.23445e-01  3.15668e-03  6.23445e-01  7.18525e-02 -5.89961e-01 -2.64394e-02 -2.64394e-02  6.95948e-02 -1.05835e-03  6.95948e-02  9.33851e-01  3.73716e-02  3.73716e-02  1.60487e-05  5.33343e-01  5.73495e-02  2.29485e-03  2.29485e-03
00155 0009  2.10938e+00  4.58307e-01  2.30774e+00  6.11156e-02  6.11156e-02  6.59892e-01  2.26364e-03  6.59892e-01  5.83355e-02 -4.33853e-01 -1.83618e-02 -1.83618e-02  6.12091e-02 -6.80345e-04  6.12091e-02  7.37159e-01  2.73114e-02  2.73114e-02  1.86261e-05  5.79673e-01  5.54869e-02  2.05571e-03  2.05571e-03
00155 0010  2.26562e+00  4.80201e-01  2.09773e+00  4.85411e-02  4.85411e-02  6.91563e-01  1.67368e-03  6.91563e-01  4.83849e-02 -3.30273e-01 -1.32720e-02 -1.32720e-02  5.39152e-02 -4.58008e-04  5.39152e-02  5.92483e-01  2.04407e-02  2.04407e-02  3.80495e-05  6.19029e-01  5.25752e-02  1.81354e-03  1.81354e-03
00155 0011  2.42188e+00  4.99726e-01  1.93779e+00  3.93405e-02  3.93405e-02  7.19166e-01  1.26847e-03  7.19166e-01  4.08489e-02 -2.58759e-01 -9.88327e-03 -9.88327e-03  4.76683e-02 -3.18971e-04  4.76683e-02  4.83338e-01  1.55958e-02  1.55958e-02  7.61113e-05  6.52744e-01  4.91227e-02  1.58498e-03  1.58498e-03
00162 0004  2.65625e+00  5.26196e-01  1.75056e+00  5.85924e-02  5.85924e-02  7.57770e-01  3.44550e-03  7.57770e-01  3.23007e-02 -1.84498e-01 -1.31984e-02 -1.31984e-02  3.91515e-02 -7.76252e-04  3.91515e-02  3.60415e-01  2.12034e-02  2.12034e-02  1.57746e-05  6.96046e-01  4.33113e-02  2.54748e-03  2.54748e-03
00162 0005  2.96875e+00  5.55457e-01  1.58945e+00  4.19682e-02  4.19682e-02  7.94298e-01  2.20883e-03  7.94298e-01  2.46710e-02 -1.28085e-01 -8.42784e-03 -8.42784e-03  3.16036e-02 -4.43637e-04  3.16036e-02  2.55683e-01  1.34559e-02  1.34559e-02 -5.87714e-06  7.40174e-01  3.61888e-02  1.90399e-03  1.90399e-03
00162 0006  3.28125e+00  5.80636e-01  1.47646e+00  3.11615e-02  3.11615e-02  8.23637e-01  1.48393e-03  8.23637e-01  1.92641e-02 -9.38106e-02 -5.71643e-03 -5.71643e-03  2.59453e-02 -2.72321e-04  2.59453e-02  1.86147e-01  8.86196e-03  8.86196e-03 -1.32800e-05  7.74610e-01  2.97828e-02  1.41753e-03  1.41753e-03
00162 0007  3.59375e+00  6.02758e-01  1.39328e+00  2.37744e-02  2.37744e-02  8.47597e-01  1.03370e-03  8.47597e-01  1.51759e-02 -7.16134e-02 -4.06393e-03 -4.06393e-03  2.16546e-02 -1.76740e-04  2.16546e-02  1.38011e-01  5.99852e-03  5.99852e-03 -1.19355e-05  8.01949e-01  2.42468e-02  1.05365e-03  1.05365e-03
00162 0008  3.90625e+00  6.22508e-01  1.32970e+00  1.85237e-02  1.85237e-02  8.67465e-01  7.40981e-04  8.67465e-01  1.19311e-02 -5.65145e-02 -3.00038e-03 -3.00038e-03  1.83562e-02 -1.20030e-04  1.83562e-02  1.03605e-01  4.14302e-03  4.14302e-03 -9.97632e-06  8.23929e-01  1.95588e-02  7.81931e-04  7.81931e-04
00162 0009  4.21875e+00  6.40358e-01  1.27969e+00  1.46741e-02  1.46741e-02  8.84158e-01  5.43514e-04  8.84158e-01  9.25948e-03 -4.58263e-02 -2.28523e-03 -2.28523e-03  1.57816e-02 -8.46530e-05  1.57816e-02  7.83858e-02  2.90235e-03  2.90235e-03 -7.71117e-06  8.41761e-01  1.56326e-02  5.78658e-04  5.78658e-04
00162 0010  4.53125e+00  6.56646e-01  1.23942e+00  1.17795e-02  1.17795e-02  8.98347e-01  4.06188e-04  8.98347e-01  7.00345e-03 -3.80095e-02 -1.78739e-03 -1.78739e-03  1.37425e-02 -6.16349e-05  1.37425e-02  5.95266e-02  2.05229e-03  2.05229e-03 -6.73021e-06  8.56314e-01  1.23659e-02  4.26055e-04  4.26055e-04
00162 0011  4.84375e+00  6.71622e-01  1.20639e+00  9.55871e-03  9.55871e-03  9.10527e-01  3.08314e-04  9.10527e-01  5.06242e-03 -3.21327e-02 -1.42788e-03 -1.42788e-03  1.21046e-02 -4.60623e-05  1.21046e-02  4.51963e-02  1.45723e-03  1.45723e-03 -1.06174e-05  8.68233e-01  9.65938e-03  3.11213e-04  3.11213e-04
00169 0004  5.31250e+00  6.92593e-01  1.16455e+00  1.40431e-02  1.40431e-02  9.26829e-01  8.26138e-04  9.26829e-01  2.55053e-03 -2.53686e-02 -2.09041e-03 -2.09041e-03  1.00464e-02 -1.23029e-04  1.00464e-02  2.91631e-02  1.71347e-03  1.71347e-03 -1.11352e-05  8.82549e-01  6.36475e-03  3.73509e-04  3.73509e-04
00169 0005  5.93750e+00  7.16538e-01  1.12564e+00  9.67197e-03  9.67197e-03  9.42625e-01  5.09490e-04  9.42625e-01  2.44325e-06 -1.96944e-02 -1.47321e-03 -1.47321e-03  8.22157e-03 -7.76307e-05  8.22157e-03  1.58258e-02  8.29920e-04  8.29920e-04 -1.26816e-05  8.95553e-01  3.38136e-03  1.76892e-04  1.76892e-04
00169 0006  6.56250e+00  7.37620e-01  1.09652e+00  6.76575e-03  6.76575e-03  9.55015e-01  3.22772e-04  9.55015e-01 -1.88222e-03 -1.57687e-02 -1.07944e-03 -1.07944e-03  6.85383e-03 -5.15171e-05  6.85383e-03  7.51661e-03  3.53780e-04  3.53780e-04 -1.32233e-05  9.04161e-01  1.41056e-03  6.58688e-05  6.58688e-05
00169 0007  7.18750e+00  7.56344e-01  1.07421e+00  4.77417e-03  4.77417e-03  9.64861e-01  2.08299e-04  9.64861e-01 -3.16508e-03 -1.28290e-02 -8.10024e-04 -8.10024e-04  5.75446e-03 -3.53331e-05  5.75446e-03  2.35665e-03  9.78042e-05  9.78042e-05 -9.47206e-06  9.09769e-01  1.62509e-04  5.54827e-06  5.54827e-06
00169 0008  7.81250e+00  7.73063e-01  1.05684e+00  3.38053e-03  3.38053e-03  9.72748e-01  1.36087e-04  9.72748e-01 -3.89725e-03 -1.04619e-02 -6.13842e-04 -6.13842e-04  4.81088e-03 -2.46906e-05  4.81088e-03 -7.21327e-04 -3.34796e-05 -3.34796e-05  1.27105e-06  9.13418e-01 -5.64850e-04 -2.41752e-05 -2.41752e-05
00169 0009  8.43750e+00  7.88026e-01  1.04320e+00  2.39272e-03  2.39272e-03  9.79081e-01  8.96537e-05  9.79081e-01 -4.14479e-03 -8.44959e-03 -4.63908e-04 -4.63908e-04  3.96302e-03 -1.73729e-05  3.96302e-03 -2.34599e-03 -9.14528e-05 -9.14528e-05  1.73644e-05  9.15903e-01 -9.11644e-04 -3.53231e-05 -3.53231e-05
00169 0010  9.06250e+00  8.01401e-01  1.03251e+00  1.68938e-03  1.68938e-03  9.84133e-01  5.95148e-05  9.84133e-01 -3.99774e-03 -6.70928e-03 -3.46164e-04 -3.46164e-04  3.19633e-03 -1.22013e-05  3.19633e-03 -2.93050e-03 -1.05362e-04 -1.05362e-04  2.91585e-05  9.17826e-01 -9.81758e-04 -3.52970e-05 -3.52970e-05
00169 0011  9.68750e+00  8.13312e-01  1.02423e+00  1.19069e-03  1.19069e-03  9.88101e-01  3.98539e-05  9.88101e-01 -3.57024e-03 -5.22562e-03 -2.55225e-04 -2.55225e-04  2.52005e-03 -8.55827e-06  2.52005e-03 -2.80619e-03 -9.32016e-05 -9.32016e-05  3.51017e-05  9.19629e-01 -8.65735e-04 -2.89056e-05 -2.89056e-05
