coordinate_time,trusted_radius,field,region,E_128_256_rms,E_256_512_rms,Q_rms,p_rms,E_128_256_linf,E_256_512_linf,p_linf,samples
0.0,16.0,z4c_chi,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_chi,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_chi,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_chi,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_chi,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_chi,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gxx,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gxx,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gxx,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gxx,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_gxx,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_gxx,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gxy,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gxy,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gxy,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gxy,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_gxy,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_gxy,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gxz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gxz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gxz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gxz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_gxz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_gxz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gyy,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gyy,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gyy,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gyy,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_gyy,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_gyy,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gyz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gyz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gyz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gyz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,z4c_gyz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,z4c_gyz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_gzz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,z4c_gzz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,z4c_gzz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,z4c_gzz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
