kernel	calls	total_seconds	average_seconds	percent
ref_gh scalar source rhs	81	2.652418795	0.0327459110494	35.2446099863
ref_gh pi rhs	81	2.439839854	0.030121479679	32.4199196014
ref_gh stationary reference Ricci	1	0.669836464	0.669836464	8.90060233805
ref_gh stationary frame reference audits	1	0.654637909	0.654637909	8.69864812767
ref_gh flat constraints	2	0.299666741	0.1498333705	3.98188907133
ref_gh reference metric jets	1	0.250175618	0.250175618	3.32426466782
ref_gh reference connection	1	0.109203727	0.109203727	1.45106902968
ref_gh psi rhs	81	0.097432749	0.00120287344444	1.2946595179
ref_gh dissipation	81	0.070683263	0.000872632876543	0.939219719634
ref_gh reference coordinate spin derivative	1	0.057554568	0.057554568	0.76476923852
ref_gh dt	21	0.04897664	0.00233222095238	0.650788095188
ref_gh RK update	80	0.043555273	0.0005444409125	0.578750464529
ref_gh compatible phi rhs	81	0.0377685	0.000466277777778	0.501857419641
ref_gh rk4 base	60	0.023826027	0.00039710045	0.316593680727
ref_gh to ADM	1	0.010576791	0.010576791	0.140541484024
SendBuff	162	0.009754919	6.02155493827e-05	0.129620675382
RecvBuff	162	0.008292256	5.11867654321e-05	0.110185212523
ref_gh exact trumpet x1 boundaries	81	0.006604096	8.15320493827e-05	0.087753407671
ref_gh reference provider profiles	1	0.006391818	0.006391818	0.0849327161072
ref_gh reference spin connection	1	0.006248279	0.006248279	0.0830254094321
ref_gh minimum puncture radius	1	0.005950839	0.005950839	0.0790731086816
ref_gh reference spin derivative	1	0.00204062	0.00204062	0.0271151961997
ref_gh reference coframe derivative	1	0.00184441	0.00184441	0.0245080117918
ref_gh exact trumpet x3 boundaries	81	0.001687441	2.08326049383e-05	0.0224222509778
ref_gh exact trumpet x2 boundaries	81	0.001651324	2.03867160494e-05	0.0219423382351
ref_gh reference frame jets	1	0.001469677	0.001469677	0.0195286629579
Kokkos::View::initialization [ref_gh reference workspace] via memset	2	0.001038445	0.0005192225	0.0137985709821
ref_gh reference structure coefficients	1	0.000914621	0.000914621	0.0121532317939
