time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	reference_Riemann	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	spin_connection	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	spin_derivative	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Psi	2.00000000000011502e+00	3.60843918243516498e-02	1.20281306081172171e-01	3	3	57	2.08333333333333287e-02	-2.08333333333333703e-02	-2.08333333333333703e-02	0	15	15
0.00000000000000000e+00	0	Q	3.19983816970116475e-11	3.60843918243516498e-02	1.20281306081172171e-01	3	3	58	-2.08333333333333703e-02	2.08333333333333287e-02	-2.08333333333333703e-02	15	0	15
0.00000000000000000e+00	0	Delta	1.60104595052710260e-11	3.60843918243516498e-02	1.20281306081172171e-01	3	3	58	-2.08333333333333703e-02	2.08333333333333287e-02	-2.08333333333333703e-02	15	0	15
0.00000000000000000e+00	0	Pi	3.19707238688621186e-11	3.60843918243516498e-02	1.20281306081172171e-01	3	3	57	2.08333333333333287e-02	-2.08333333333333703e-02	-2.08333333333333703e-02	0	15	15
0.00000000000000000e+00	0	Phi	8.92048749065036205e-13	3.60843918243516498e-02	1.20281306081172171e-01	3	3	57	2.08333333333333287e-02	-2.08333333333333703e-02	-2.08333333333333703e-02	0	15	15
0.00000000000000000e+00	0	GH_constraint	1.03537292606268970e-09	3.60843918243516776e-02	1.20281306081172268e-01	3	3	56	-2.08333333333333703e-02	-2.08333333333333703e-02	-2.08333333333333703e-02	15	15	15
0.00000000000000000e+00	0	reduction_constraint	9.20140014204033852e-14	1.48779758927976069e-01	4.95932529759920249e-01	3	3	61	2.08333333333333287e-02	-1.45833333333333370e-01	2.08333333333333287e-02	0	12	0
0.00000000000000000e+00	0	curl_constraint	1.43754284980724832e-13	1.48779758927976014e-01	4.95932529759920082e-01	3	3	63	1.45833333333333315e-01	2.08333333333333287e-02	2.08333333333333287e-02	3	0	0
0.00000000000000000e+00	0	source_curvature	6.09410749307282455e-10	3.60843918243516013e-02	1.20281306081172004e-01	3	3	63	2.08333333333333287e-02	2.08333333333333287e-02	2.08333333333333287e-02	0	0	0
0.00000000000000000e+00	0	source_QQ	2.04447239399329170e-21	3.60843918243516498e-02	1.20281306081172171e-01	3	3	58	-2.08333333333333703e-02	2.08333333333333287e-02	-2.08333333333333703e-02	15	0	15
0.00000000000000000e+00	0	source_DeltaDelta	5.11120469815567780e-22	3.60843918243516498e-02	1.20281306081172171e-01	3	3	58	-2.08333333333333703e-02	2.08333333333333287e-02	-2.08333333333333703e-02	15	0	15
0.00000000000000000e+00	0	source_damping	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	source_frame_correction	7.46083735372001696e-11	3.60843918243516498e-02	1.20281306081172171e-01	3	3	58	-2.08333333333333703e-02	2.08333333333333287e-02	-2.08333333333333703e-02	15	0	15
0.00000000000000000e+00	0	Psi_RHS_Linf	1.19704246515084371e-14	1.48779758927976097e-01	4.95932529759920360e-01	3	3	56	-2.08333333333333703e-02	-2.08333333333333703e-02	-1.45833333333333370e-01	15	15	12
0.00000000000000000e+00	0	Pi_RHS_Linf	3.12728068752635343e-12	1.60023869747262681e-01	5.33412899157542308e-01	3	3	62	-1.45833333333333370e-01	2.08333333333333287e-02	6.24999999999999861e-02	12	0	1
