resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n128,0.0,0.0,R4,C,0.0004671718297684505,1129.0918750738845,9.567843931326465e-05,0.0069426193329990985,4.0,0.0,4.0,0.0
n128,0.0,0.0,R4,H,0.0004603718598107393,1129.0918750738845,9.495375570514214e-05,0.00691627711057663,4.0,0.0,4.0,0.0
n128,0.0,0.0,R4,M,0.0,1129.0918750738845,0.0,0.0,0.0,-4.0,0.0,-4.0
n128,0.0,0.0,R4,Z,1.6999935510236157e-06,1129.0918750738845,1.8117118238504021e-07,0.00030210705783861733,4.0,0.0,4.0,0.0
n128,0.0,0.0,R8,C,0.1305054044283136,6857.336060891038,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0
n128,0.0,0.0,R8,H,0.1297844166185893,6857.336060891038,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0
n128,0.0,0.0,R8,M,0.0,6857.336060891038,0.0,0.0,0.0,-8.0,0.0,-8.0
n128,0.0,0.0,R8,Z,0.00018024695737544843,6857.336060891038,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0
n128,0.0,0.0,R12,C,0.13050541582127828,17519.67217220789,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0
n128,0.0,0.0,R12,H,0.12978441840692792,17519.67217220789,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0
n128,0.0,0.0,R12,M,0.0,17519.67217220789,0.0,0.0,0.0,-12.0,0.0,-12.0
n128,0.0,0.0,R12,Z,0.00018024935853202295,17519.67217220789,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0
n128,0.0,0.0,R14,C,0.1305054158212801,25205.15024419744,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0
n128,0.0,0.0,R14,H,0.12978441840692972,25205.15024419744,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0
n128,0.0,0.0,R14,M,0.0,25205.15024419744,0.0,0.0,0.0,-14.0,0.0,-14.0
n128,0.0,0.0,R14,Z,0.00018024935853202295,25205.15024419744,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0
n128,0.0,0.0,full,C,0.13050838731176384,47759.32751130048,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0
n128,0.0,0.0,full,H,0.1297873898973781,47759.32751130048,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0
n128,0.0,0.0,full,M,0.0,47759.32751130048,0.0,0.0,0.0,-16.0,0.0,-16.0
n128,0.0,0.0,full,Z,0.00018024935853202295,47759.32751130048,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0
n128,0.0,0.0,shell_0_4,C,0.0004671718297684505,1129.0918750738845,9.567843931326465e-05,0.0069426193329990985,4.0,0.0,4.0,0.0
n128,0.0,0.0,shell_0_4,H,0.0004603718598107393,1129.0918750738845,9.495375570514214e-05,0.00691627711057663,4.0,0.0,4.0,0.0
n128,0.0,0.0,shell_0_4,M,0.0,1129.0918750738845,0.0,0.0,0.0,-4.0,0.0,-4.0
n128,0.0,0.0,shell_0_4,Z,1.6999935510236157e-06,1129.0918750738845,1.8117118238504021e-07,0.00030210705783861733,4.0,0.0,4.0,0.0
n128,0.0,0.0,shell_4_8,C,0.13003823259854516,5728.244185817153,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0
n128,0.0,0.0,shell_4_8,H,0.12932404475877857,5728.244185817153,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0
