resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,0.0,0.0,shell_0_4,C,0.0004671718297684505,1129.0918750738845,9.567843931326465e-05,0.0069426193329990985,4.0,0.0,4.0,0.0,0.0035797118088336686
n128,0.0,0.0,shell_0_4,H,0.0004603718598107393,1129.0918750738845,9.495375570514214e-05,0.00691627711057663,4.0,0.0,4.0,0.0,0.003547204004104145
n128,0.0,0.0,shell_0_4,M,0.0,1129.0918750738845,0.0,0.0,0.0,-4.0,0.0,-4.0,nan
n128,0.0,0.0,shell_0_4,Z,1.6999935510236157e-06,1129.0918750738845,1.8117118238504021e-07,0.00030210705783861733,4.0,0.0,4.0,0.0,0.009431343139684996
n128,0.0,0.0,shell_4_8,C,0.13003823259854516,5728.244185817153,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0,0.9964200903628799
n128,0.0,0.0,shell_4_8,H,0.12932404475877857,5728.244185817153,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0,0.9964526710730589
n128,0.0,0.0,shell_4_8,M,0.0,5728.244185817153,0.0,0.0,0.0,-8.0,0.0,-8.0,nan
n128,0.0,0.0,shell_4_8,Z,0.0001785469638244248,5728.244185817153,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0,0.990555335555906
n128,0.0,0.0,shell_8_12,C,1.139296470701063e-08,10662.336111316848,1.0572179779172875e-09,1.558552565341245e-05,8.0,-0.25,8.0,-0.25,8.729877895147307e-08
n128,0.0,0.0,shell_8_12,H,1.7883385790880163e-09,10662.336111316848,8.364298436009164e-11,4.3907762119488325e-06,8.0,-0.5,8.0,-0.5,1.3779299566751991e-08
n128,0.0,0.0,shell_8_12,M,0.0,10662.336111316848,0.0,0.0,0.0,-12.0,0.0,-12.0,nan
n128,0.0,0.0,shell_8_12,Z,2.401156574562129e-09,10662.336111316848,2.441095249895685e-10,7.4891330686369596e-06,8.0,-0.25,8.0,-0.25,1.3321304409166826e-05
n128,0.0,0.0,shell_12_16,C,3.559475976090155e-14,17097.080276840603,5.040340693185895e-15,2.3508700120452485e-08,15.75,-0.25,16.0,0.0,2.7274543054501135e-13
n128,0.0,0.0,shell_12_16,H,3.559476129857588e-14,17097.080276840603,5.040340869183701e-15,2.3508698987484422e-08,15.75,-0.25,16.0,0.0,2.7426063759706417e-13
n128,0.0,0.0,shell_12_16,M,0.0,17097.080276840603,0.0,0.0,0.0,-16.0,0.0,-16.0,nan
