coordinate_time,trusted_radius,resolution,field,ring_rms,linf,samples
0.0,16.0,n128,con_C,9.087055633408778e-05,0.006888283416628838,6290
0.0,16.0,n128,con_H,0.0016159508005104022,0.08296076208353043,6290
0.0,16.0,n128,con_M,0.0,0.0,6290
0.0,16.0,n128,con_Z,4.4403583409092754e-08,1.4489295381281408e-06,6290
0.0,16.0,n256,con_C,4.7016539883541765e-07,3.576796007109806e-05,6290
0.0,16.0,n256,con_H,0.00011690950927153311,0.005977977998554707,6290
0.0,16.0,n256,con_M,0.0,0.0,6290
0.0,16.0,n256,con_Z,2.2956845792124645e-10,7.934458423619617e-09,6290
0.0,16.0,n512,con_C,1.975409576490422e-09,1.5047150725422398e-07,6290
0.0,16.0,n512,con_H,7.588220769249309e-06,0.00038773167761974037,6290
0.0,16.0,n512,con_M,0.0,0.0,6290
0.0,16.0,n512,con_Z,9.663216635145053e-13,3.391434355570766e-11,6290
0.25,15.549509826249581,n128,con_C,1.5709229720623256e-05,0.0006680735588978768,5946
0.25,15.549509826249581,n128,con_H,0.0006056497670656202,0.02146332299580457,5946
0.25,15.549509826249581,n128,con_M,3.0955680248654315e-06,0.00012553198974891226,5946
0.25,15.549509826249581,n128,con_Z,1.084438435800652e-06,3.22197490746216e-05,5946
0.25,15.549509826249581,n256,con_C,1.4773469672005924e-07,7.309708246891127e-06,5946
0.25,15.549509826249581,n256,con_H,7.758250463870416e-05,0.002616017735981259,5946
0.25,15.549509826249581,n256,con_M,1.425426790522804e-08,6.321123574208471e-07,5946
0.25,15.549509826249581,n256,con_Z,8.128313341133901e-09,2.5515062142823776e-07,5946
0.25,15.549509826249581,n512,con_C,4.218727366827967e-10,1.373041814047447e-08,5946
0.25,15.549509826249581,n512,con_H,3.188567446749269e-06,9.077626523564391e-05,5946
0.25,15.549509826249581,n512,con_M,1.8438454780079325e-10,1.1047792119729603e-08,5946
0.25,15.549509826249581,n512,con_Z,2.6713182392226524e-11,8.876883101999451e-10,5946
0.5,15.092935903340646,n128,con_C,1.1326341442936035e-05,0.00034352022265539,5592
0.5,15.092935903340646,n128,con_H,0.0006926294589354384,0.017664489561291078,5592
0.5,15.092935903340646,n128,con_M,7.642175009886942e-07,2.793612836189678e-05,5592
0.5,15.092935903340646,n128,con_Z,7.04072652946219e-07,1.7206621718268682e-05,5592
0.5,15.092935903340646,n256,con_C,2.0900921767695455e-08,8.757727547264445e-07,5592
0.5,15.092935903340646,n256,con_H,1.8300611314236764e-05,0.0008048384328945867,5592
0.5,15.092935903340646,n256,con_M,3.221529427374987e-09,1.5424860426923206e-07,5592
0.5,15.092935903340646,n256,con_Z,2.2972978587971904e-09,5.464028588295124e-08,5592
0.5,15.092935903340646,n512,con_C,8.20965001840915e-11,4.3911955091717634e-09,5592
0.5,15.092935903340646,n512,con_H,1.1459704001565625e-06,5.754777726441781e-05,5592
0.5,15.092935903340646,n512,con_M,7.610192597078716e-12,2.44232117651078e-10,5592
0.5,15.092935903340646,n512,con_Z,9.317078722106864e-12,2.2377033098810316e-10,5592
1.0,14.273832840002642,n128,con_C,3.82797159397049e-06,0.00012719189060144583,5015
1.0,14.273832840002642,n128,con_H,0.00036732640653919257,0.009880355469743569,5015
1.0,14.273832840002642,n128,con_M,7.796265855526675e-07,4.047265333418994e-05,5015
1.0,14.273832840002642,n128,con_Z,2.6134825476976286e-07,7.607828591885017e-06,5015
1.0,14.273832840002642,n256,con_C,1.587161339465372e-08,7.573471963885597e-07,5015
1.0,14.273832840002642,n256,con_H,1.8150339838520478e-05,0.0006495198749746849,5015
1.0,14.273832840002642,n256,con_M,3.859239142376715e-09,1.7757291719599817e-07,5015
1.0,14.273832840002642,n256,con_Z,1.3239983122267573e-09,4.7039303150992374e-08,5015
1.0,14.273832840002642,n512,con_C,4.941377534141366e-11,1.6304378949375082e-09,5015
1.0,14.273832840002642,n512,con_H,8.974077098547121e-07,2.3410212001662927e-05,5015
1.0,14.273832840002642,n512,con_M,1.2485640321748482e-11,4.696786673918461e-10,5015
1.0,14.273832840002642,n512,con_Z,6.314978454728673e-12,2.2960364954619487e-10,5015
1.5,13.552133226019125,n128,con_C,4.085424018929384e-06,9.102295560473374e-05,4502
1.5,13.552133226019125,n128,con_H,0.0003204702542327316,0.006190808201084732,4502
1.5,13.552133226019125,n128,con_M,6.872334458266761e-07,2.396547122549181e-05,4502
1.5,13.552133226019125,n128,con_Z,6.968641121780954e-07,1.771388009464262e-05,4502
1.5,13.552133226019125,n256,con_C,2.6631611517333927e-08,1.181066597688121e-06,4502
1.5,13.552133226019125,n256,con_H,2.0845435784054006e-05,0.0007688885957510051,4502
1.5,13.552133226019125,n256,con_M,5.430511168699554e-09,2.6478110760674337e-07,4502
1.5,13.552133226019125,n256,con_Z,3.9274155463045775e-09,1.0311914353211882e-07,4502
1.5,13.552133226019125,n512,con_C,9.669182591637458e-11,3.1991693674437465e-09,4502
1.5,13.552133226019125,n512,con_H,1.2418873229184917e-06,3.428991645320509e-05,4502
1.5,13.552133226019125,n512,con_M,1.763870075601008e-11,6.883283396830012e-10,4502
1.5,13.552133226019125,n512,con_Z,1.6816952711147353e-11,4.4013039669945783e-10,4502
2.0,12.879975447298303,n128,con_C,4.466501820471911e-06,0.00011529961439428121,4061
2.0,12.879975447298303,n128,con_H,0.00037814850284397964,0.0061583535247859535,4061
2.0,12.879975447298303,n128,con_M,9.292606472647079e-07,3.0961942166365905e-05,4061
2.0,12.879975447298303,n128,con_Z,6.295050325918272e-07,1.152977606364134e-05,4061
2.0,12.879975447298303,n256,con_C,2.076347306324832e-08,3.7600729717546857e-07,4061
2.0,12.879975447298303,n256,con_H,2.2685453706877268e-05,0.0004006080091758049,4061
2.0,12.879975447298303,n256,con_M,3.8746091138745935e-09,1.0023936448194884e-07,4061
2.0,12.879975447298303,n256,con_Z,3.412777709950224e-09,5.320710336344452e-08,4061
2.0,12.879975447298303,n512,con_C,8.14081379213622e-11,1.398034589288981e-09,4061
2.0,12.879975447298303,n512,con_H,1.354911474888818e-06,3.048918122216901e-05,4061
2.0,12.879975447298303,n512,con_M,1.4711400363823253e-11,3.94561294930985e-10,4061
2.0,12.879975447298303,n512,con_Z,1.4052153133879263e-11,2.2165524770882421e-10,4061
3.0,11.54686290681892,n128,con_C,5.016627494473041e-06,0.00012786288155343321,3250
