phase,writer,component,delta_l2_unweighted,delta_max_abs
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gzz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Khat,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Ayz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Azz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamy,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Gamz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Theta,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_alpha,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betax,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betay,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_betaz,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bx,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_By,0.0,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_chi,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gzz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Khat,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Ayz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Azz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamy,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Gamz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Theta,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_alpha,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betax,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betay,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_betaz,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bx,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_By,0.0,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_chi,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gzz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Khat,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Ayz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Azz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamx,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamy,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Gamz,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Theta,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_alpha,0.0,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_betax,0.0,0.0
