time	cycle	diagnostic	maximum	radius	r_over_r_core	level	rank	gid	x	y	z	i	j	k
0.00000000000000000e+00	0	reference_Ricci	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	reference_Riemann	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	spin_connection	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	spin_derivative	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Psi	2.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Q	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Delta	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Pi	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Phi	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	GH_constraint	4.34061892513831702e-10	3.60843918243516290e-02	1.20281306081172101e-01	3	3	62	-2.08333333333333703e-02	2.08333333333333287e-02	2.08333333333333287e-02	15	0	0
0.00000000000000000e+00	0	reduction_constraint	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	curl_constraint	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	source_curvature	6.09438425326532784e-10	3.60843918243516013e-02	1.20281306081172004e-01	3	3	63	2.08333333333333287e-02	2.08333333333333287e-02	2.08333333333333287e-02	0	0	0
0.00000000000000000e+00	0	source_QQ	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	source_DeltaDelta	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	source_damping	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	source_frame_correction	7.18013269531664383e-17	2.07289049397212544e-01	6.90963497990708553e-01	3	3	57	2.08333333333333287e-02	-1.45833333333333370e-01	-1.45833333333333370e-01	0	12	12
0.00000000000000000e+00	0	Psi_RHS_Linf	0.00000000000000000e+00	3.42801722331340297e+00	1.14267240777113432e+01	3	0	0	-1.97916666666666674e+00	-1.97916666666666674e+00	-1.97916666666666674e+00	0	0	0
0.00000000000000000e+00	0	Pi_RHS_Linf	2.69954082159238312e-12	1.60023869747262709e-01	5.33412899157542419e-01	3	3	58	-1.45833333333333370e-01	2.08333333333333287e-02	-6.25000000000000000e-02	12	0	14
