kernel	calls	total_seconds	average_seconds	percent
ref_gh reference metric jets	73	20.622904219	0.282505537247	41.4654837937
ref_gh scalar source rhs	81	12.318714022	0.15208288916	24.7686470933
ref_gh reference connection	73	8.943609627	0.12251520037	17.9824866618
ref_gh reference coordinate spin derivative	73	2.595680234	0.0355572634795	5.21900967651
ref_gh pi rhs	81	2.115329019	0.0261151730741	4.25319054117
ref_gh stationary frame reference audits	1	0.73047138	0.73047138	1.46872374751
ref_gh stationary reference Ricci	1	0.660699858	0.660699858	1.32843749665
ref_gh flat constraints	2	0.295995001	0.1479975005	0.595142943334
ref_gh reference frame jets	73	0.286358643	0.00392272113699	0.575767580764
ref_gh reference spin connection	73	0.267452049	0.00366372669863	0.53775299956
ref_gh reference coframe derivative	73	0.155069762	0.00212424331507	0.311791328458
ref_gh reference spin derivative	73	0.144773289	0.00198319573973	0.291088704338
ref_gh psi rhs	81	0.099706662	0.00123094644444	0.200475400234
ref_gh dissipation	81	0.07086985	0.000874936419753	0.142494606261
ref_gh reference curvature	73	0.067144217	0.000919783794521	0.135003654785
ref_gh reference structure coefficients	73	0.063352375	0.000867840753425	0.127379580051
ref_gh reference Ricci	73	0.053120372	0.000727676328767	0.106806582666
ref_gh dt	21	0.05122339	0.00243920904762	0.102992411997
ref_gh RK update	80	0.043327339	0.0005415917375	0.0871162011932
ref_gh compatible phi rhs	81	0.037837608	0.000467130962963	0.0760782625306
ref_gh rk4 base	60	0.023787773	0.000396462883333	0.0478289335656
ref_gh reference spatial frame	73	0.020794389	0.000284854643836	0.0418102800131
ref_gh reference provider profiles	73	0.016669349	0.000228347246575	0.033516260051
ref_gh to ADM	1	0.010651007	0.010651007	0.0214154686195
SendBuff	162	0.009594435	5.92249074074e-05	0.0192910700054
RecvBuff	162	0.008308055	5.12842901235e-05	0.0167046074744
ref_gh exact trumpet x1 boundaries	81	0.007017229	8.66324567901e-05	0.0141092055846
