resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n128,1,0.010823312937405826,0.0,0.026973719119913555,C-norm2,0.1305083885462906,0.09125632282288243,0.6992372202229309,-0.1553754623713517,38,4
n128,1,0.010823312937405826,0.0,0.026973719119913555,H-norm2,0.1297873911159934,0.06898234315855362,0.5315026565015304,-0.27449456048956,38,4
n128,1,0.010823312937405826,0.0,0.026973719119913555,M-norm2,0.0,0.0001850047028979387,nan,nan,38,4
n128,1,0.010823312937405826,0.0,0.026973719119913555,Z-norm2,0.00018024935757430345,0.005519326302731523,30.62050471084932,1.4860123447988967,38,4
n256,1,0.010823312937405826,0.0,0.021593901309142422,C-norm2,0.0006854074319407438,0.0009044501781281725,1.3195803488258147,0.1204358394134255,38,4
n256,1,0.010823312937405826,0.0,0.021593901309142422,H-norm2,0.0006818808093213485,0.0008025993864650405,1.1770376515858232,0.07079035546401213,38,4
n256,1,0.010823312937405826,0.0,0.021593901309142422,M-norm2,0.0,3.1683880305329667e-06,nan,nan,38,4
n256,1,0.010823312937405826,0.0,0.021593901309142422,Z-norm2,8.816556548488162e-07,2.4659389366505555e-05,27.969410994969547,1.446683320703741,38,4
n512,1,0.010823312937405826,0.0,0.010866809339852181,C-norm2,2.9331766164378906e-06,3.483582450675664e-06,1.1876483779235214,0.07468787992881243,38,4
n512,1,0.010823312937405826,0.0,0.010866809339852181,H-norm2,2.918561975175879e-06,3.1189843034434476e-06,1.0686716026496201,0.02884426922348826,38,4
n512,1,0.010823312937405826,0.0,0.010866809339852181,M-norm2,0.0,1.6985918238755573e-08,nan,nan,38,4
n512,1,0.010823312937405826,0.0,0.010866809339852181,Z-norm2,3.653660315503079e-09,8.688279493158614e-08,23.779658596867424,1.3762056151875957,38,4
n128,2,0.016214175436500177,0.0,0.026973719119913555,C-norm2,0.1305083885462906,0.09125632282288243,0.6992372202229309,-0.1553754623713517,50,5
n128,2,0.016214175436500177,0.0,0.026973719119913555,H-norm2,0.1297873911159934,0.06898234315855362,0.5315026565015304,-0.27449456048956,50,5
n128,2,0.016214175436500177,0.0,0.026973719119913555,M-norm2,0.0,0.0001850047028979387,nan,nan,50,5
n128,2,0.016214175436500177,0.0,0.026973719119913555,Z-norm2,0.00018024935757430345,0.005519326302731523,30.62050471084932,1.4860123447988967,50,5
n256,2,0.016214175436500177,0.0,0.021593901309142422,C-norm2,0.0006854074319407438,0.0009044501781281725,1.3195803488258147,0.1204358394134255,50,5
n256,2,0.016214175436500177,0.0,0.021593901309142422,H-norm2,0.0006818808093213485,0.0008025993864650405,1.1770376515858232,0.07079035546401213,50,5
n256,2,0.016214175436500177,0.0,0.021593901309142422,M-norm2,0.0,3.1683880305329667e-06,nan,nan,50,5
n256,2,0.016214175436500177,0.0,0.021593901309142422,Z-norm2,8.816556548488162e-07,2.4659389366505555e-05,27.969410994969547,1.446683320703741,50,5
n512,2,0.016214175436500177,0.012171701413242817,0.018904496297643673,C-norm2,3.474084614615894e-06,4.789103288062015e-06,1.3785223502944282,0.13941381181346557,50,5
